ResearchGroup1,http://OAclFbUsd.com,7739431969998918900,http://OvO8bHK5uJ6H.com,ResearchGroup1,College29,College88,Professor17,Specification12,Research121,Dean5
ResearchGroup2,http://CSWnapbMARt.com,1130309150324704642,http://V7uAm2VNUd.com,College57,Institute7,Program17,Lecturer21,Article13,Research186,AssociateProfessor10
ResearchGroup3,http://2QnTNV1LE7WJe.com,-2677706782305748548,http://0CYb4.com,JournalArticle22,ResearchGroup10,University1,FullProfessor20,Manual8,Research122,Director14
ResearchGroup4,http://dPUBiKEwyRbG.com,-5639025172980232594,http://OvWrK5Dv.com,SystemsStaff3,ResearchGroup14,ResearchGroup1,AssistantProfessor25,Publication125,Research111,AdministrativeStaff18
ResearchGroup5,http://SSyo2S0fK8.com,6913255298246252936,http://7OxkJDv8l.com,ResearchGroup14,ResearchGroup11,College11,GraduateStudent181,Book26,Research198,Faculty15
ResearchGroup6,http://0jZOz4YJ.com,1993547119729608747,http://G74Ukmo1S0aIQ.com,FullProfessor11,Department7,Department4,Professor2,Manual6,Research41,ClericalStaff1
ResearchGroup7,http://fRRacv0WAF.com,6745451227420664691,http://4caTzZURcOG3k4.com,AssociateProfessor18,Organization1,Organization1,GraduateStudent209,Publication148,Research163,PostDoc23
ResearchGroup8,http://mofP6wnhlRAlKa.com,3681564440375242275,http://mEB3e.com,Organization1,Institute4,Department2,AssociateProfessor13,Specification18,Research152,Employee57
ResearchGroup9,http://GaBgWUVaC7zL0.com,5870431430432498961,http://mk3xDPGLnmQ8SAJ.com,Software17,College68,Department5,Chair5,Specification17,Research36,ClericalStaff18
ResearchGroup10,http://wak4BQHYg.com,-7331086409399924738,http://NG9jR.com,Research32,Department7,Institute5,Chair12,Article4,Research143,Person405
ResearchGroup11,http://Xqwi4.com,-8380638082411702216,http://5ryTe.com,Specification10,Program18,Department6,ClericalStaff1,Article32,Research122,Dean19
ResearchGroup12,http://qZWqvApn1fzQL.com,-905243470842583992,http://6agzGnsmabJm0o4.com,ClericalStaff10,College26,ResearchGroup13,AssistantProfessor18,ConferencePaper148,Research148,AssociateProfessor14
ResearchGroup13,http://Xh30H87v9ri.com,-7055541820262209006,http://zLOlmbR0WMqg.com,Student372,ResearchGroup5,Organization1,FullProfessor23,UnofficialPublication11,Research40,AdministrativeStaff15
ResearchGroup14,http://BpqaW6AVVcwfi0.com,2202829986663656981,http://MaFxK3T8Z3V8Kh.com,ConferencePaper40,Organization1,Organization1,ClericalStaff1,TechnicalReport26,Research197,Employee87
ResearchGroup15,http://uB38fhfv.com,-3607075885831014034,http://jEaGLOBGHl3.com,Institute1,Department4,College65,AssociateProfessor1,TechnicalReport55,Research19,Chair11
